Loading pre-computed embeddings from cache: /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Emb cache: loaded iv=(92115, 1152) ex=(92115, 1152) from /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
[full_iv_ex/frozen] epoch 97/200 loss=2.1199 iv_val=0.9411 ex_val=0.9113 bal_val=0.9262 ex2iv=0.0813 align=0.4729 cpair=0.0000
[full_iv_ex/frozen] epoch 98/200 loss=2.1192 iv_val=0.9382 ex_val=0.9032 bal_val=0.9207 ex2iv=0.0765 align=0.4725 cpair=0.0000
[full_iv_ex/frozen] epoch 99/200 loss=2.1193 iv_val=0.9383 ex_val=0.8900 bal_val=0.9142 ex2iv=0.0729 align=0.4732 cpair=0.0000
[full_iv_ex/frozen] epoch 100/200 loss=2.1181 iv_val=0.9419 ex_val=0.9165 bal_val=0.9292 ex2iv=0.0709 align=0.4719 cpair=0.0000
[full_iv_ex/frozen] epoch 101/200 loss=2.1190 iv_val=0.9388 ex_val=0.8854 bal_val=0.9121 ex2iv=0.0683 align=0.4732 cpair=0.0000
[full_iv_ex/frozen] epoch 102/200 loss=2.1169 iv_val=0.9366 ex_val=0.8927 bal_val=0.9146 ex2iv=0.0716 align=0.4725 cpair=0.0000
[full_iv_ex/frozen] epoch 103/200 loss=2.1184 iv_val=0.9351 ex_val=0.9046 bal_val=0.9199 ex2iv=0.0697 align=0.4724 cpair=0.0000
[full_iv_ex/frozen] epoch 104/200 loss=2.1206 iv_val=0.9291 ex_val=0.8892 bal_val=0.9091 ex2iv=0.0758 align=0.4730 cpair=0.0000
[full_iv_ex/frozen] epoch 105/200 loss=2.1167 iv_val=0.9369 ex_val=0.8982 bal_val=0.9175 ex2iv=0.0812 align=0.4716 cpair=0.0000
[full_iv_ex/frozen] epoch 106/200 loss=2.1194 iv_val=0.9337 ex_val=0.8954 bal_val=0.9146 ex2iv=0.0835 align=0.4736 cpair=0.0000
[full_iv_ex/frozen] epoch 107/200 loss=2.1193 iv_val=0.9360 ex_val=0.8791 bal_val=0.9076 ex2iv=0.0735 align=0.4730 cpair=0.0000
[full_iv_ex/frozen] epoch 108/200 loss=2.1187 iv_val=0.9257 ex_val=0.8832 bal_val=0.9045 ex2iv=0.0767 align=0.4726 cpair=0.0000
[full_iv_ex/frozen] epoch 109/200 loss=2.1169 iv_val=0.9289 ex_val=0.8964 bal_val=0.9127 ex2iv=0.0853 align=0.4716 cpair=0.0000
[full_iv_ex/frozen] epoch 110/200 loss=2.1193 iv_val=0.9406 ex_val=0.8898 bal_val=0.9152 ex2iv=0.0872 align=0.4735 cpair=0.0000
[full_iv_ex/frozen] epoch 111/200 loss=2.1182 iv_val=0.9262 ex_val=0.8814 bal_val=0.9038 ex2iv=0.0743 align=0.4724 cpair=0.0000
[full_iv_ex/frozen] epoch 112/200 loss=2.1174 iv_val=0.9217 ex_val=0.8901 bal_val=0.9059 ex2iv=0.0779 align=0.4725 cpair=0.0000
[full_iv_ex/frozen] epoch 113/200 loss=2.1184 iv_val=0.9307 ex_val=0.8710 bal_val=0.9009 ex2iv=0.0712 align=0.4724 cpair=0.0000
[full_iv_ex/frozen] epoch 114/200 loss=2.1190 iv_val=0.9218 ex_val=0.8756 bal_val=0.8987 ex2iv=0.0615 align=0.4726 cpair=0.0000
[full_iv_ex/frozen] epoch 115/200 loss=2.1157 iv_val=0.9169 ex_val=0.8791 bal_val=0.8980 ex2iv=0.0684 align=0.4708 cpair=0.0000
[full_iv_ex/frozen] epoch 116/200 loss=2.1165 iv_val=0.9330 ex_val=0.8810 bal_val=0.9070 ex2iv=0.0694 align=0.4716 cpair=0.0000
[full_iv_ex/frozen] epoch 117/200 loss=2.1161 iv_val=0.9240 ex_val=0.8864 bal_val=0.9052 ex2iv=0.0783 align=0.4707 cpair=0.0000
[full_iv_ex/frozen] epoch 118/200 loss=2.1170 iv_val=0.9189 ex_val=0.8617 bal_val=0.8903 ex2iv=0.0684 align=0.4727 cpair=0.0000
[full_iv_ex/frozen] epoch 119/200 loss=2.1159 iv_val=0.9236 ex_val=0.8769 bal_val=0.9003 ex2iv=0.0779 align=0.4711 cpair=0.0000
[full_iv_ex/frozen] epoch 120/200 loss=2.1167 iv_val=0.9114 ex_val=0.8672 bal_val=0.8893 ex2iv=0.0714 align=0.4713 cpair=0.0000
[full_iv_ex/frozen] epoch 121/200 loss=2.1139 iv_val=0.9319 ex_val=0.8903 bal_val=0.9111 ex2iv=0.0679 align=0.4688 cpair=0.0000
[full_iv_ex/frozen] epoch 122/200 loss=2.1156 iv_val=0.9295 ex_val=0.8810 bal_val=0.9053 ex2iv=0.0778 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 123/200 loss=2.1150 iv_val=0.9209 ex_val=0.8603 bal_val=0.8906 ex2iv=0.0743 align=0.4709 cpair=0.0000
[full_iv_ex/frozen] epoch 124/200 loss=2.1161 iv_val=0.9216 ex_val=0.8786 bal_val=0.9001 ex2iv=0.0645 align=0.4711 cpair=0.0000
[full_iv_ex/frozen] epoch 125/200 loss=2.1162 iv_val=0.9175 ex_val=0.8528 bal_val=0.8852 ex2iv=0.0669 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 126/200 loss=2.1142 iv_val=0.8994 ex_val=0.8844 bal_val=0.8919 ex2iv=0.0747 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 127/200 loss=2.1164 iv_val=0.9011 ex_val=0.8343 bal_val=0.8677 ex2iv=0.0643 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 128/200 loss=2.1162 iv_val=0.8983 ex_val=0.8409 bal_val=0.8696 ex2iv=0.0699 align=0.4713 cpair=0.0000
[full_iv_ex/frozen] epoch 129/200 loss=2.1155 iv_val=0.9144 ex_val=0.8563 bal_val=0.8854 ex2iv=0.0762 align=0.4712 cpair=0.0000
[full_iv_ex/frozen] epoch 130/200 loss=2.1148 iv_val=0.9050 ex_val=0.8524 bal_val=0.8787 ex2iv=0.0690 align=0.4704 cpair=0.0000
[full_iv_ex/frozen] epoch 131/200 loss=2.1152 iv_val=0.9148 ex_val=0.8602 bal_val=0.8875 ex2iv=0.0705 align=0.4707 cpair=0.0000
[full_iv_ex/frozen] epoch 132/200 loss=2.1154 iv_val=0.9161 ex_val=0.8512 bal_val=0.8837 ex2iv=0.0713 align=0.4705 cpair=0.0000
[full_iv_ex/frozen] epoch 133/200 loss=2.1147 iv_val=0.9045 ex_val=0.8194 bal_val=0.8619 ex2iv=0.0720 align=0.4702 cpair=0.0000
[full_iv_ex/frozen] epoch 134/200 loss=2.1151 iv_val=0.9072 ex_val=0.8443 bal_val=0.8758 ex2iv=0.0645 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 135/200 loss=2.1167 iv_val=0.9148 ex_val=0.8059 bal_val=0.8604 ex2iv=0.0735 align=0.4721 cpair=0.0000
[full_iv_ex/frozen] epoch 136/200 loss=2.1128 iv_val=0.8959 ex_val=0.8303 bal_val=0.8631 ex2iv=0.0777 align=0.4692 cpair=0.0000
[full_iv_ex/frozen] epoch 137/200 loss=2.1164 iv_val=0.9196 ex_val=0.8368 bal_val=0.8782 ex2iv=0.0635 align=0.4712 cpair=0.0000
